ticket_id,customer_id,date,topic,text,status,priority,resolved_in_days
106aaeb2-8c08-4382-bd0d-22f5c3abb1e5,CUST_00004,2025-02-28,billing,Why did my subscription price increase without notice?,resolved,low,12.0
4ba8b1e4-4bcc-42b8-99b3-3a462b5cce4c,CUST_00005,2026-05-08,feature,Please add a dark mode to the dashboard.,open,low,
b70e9d00-7c74-40a0-a590-b5c0b4592caa,CUST_00005,2026-04-24,account,Can I downgrade my plan and keep my data?,pending,low,13.0
6c54e467-8f6b-4e9e-885e-dfaa615affef,CUST_00006,2026-01-22,billing,I was charged twice this month and need a refund immediately.,resolved,high,12.0
2bcda164-5657-44be-bfec-d99fe3e7cf7f,CUST_00006,2026-02-06,feature,Is there a way to export data to Excel automatically?,resolved,high,
f4494e59-a6a2-4bf0-b37a-557ed7752726,CUST_00007,2026-01-04,billing,I was charged twice this month and need a refund immediately.,resolved,medium,12.0
ffc228ac-8a71-4246-9106-72daf7c5e75e,CUST_00007,2026-04-13,feature,I need the ability to set recurring transactions.,pending,medium,4.0
c2c2234e-d5ac-49d2-8d6c-004faff15409,CUST_00009,2025-10-21,account,I need to update my business address and tax ID.,open,high,14.0
40af2f49-03e3-4972-b704-b9f7110dc3dc,CUST_00009,2025-03-06,feature,I need the ability to set recurring transactions.,pending,medium,
c0106fe7-ae03-4949-a2b8-d0137d5f20be,CUST_00009,2025-12-08,feature,Please add a dark mode to the dashboard.,pending,medium,11.0
5e3951e7-e4d9-45ef-b7ab-046fd96c1372,CUST_00009,2024-12-02,billing,I cancelled but was still billed. Please reverse this charge.,pending,high,
8038cbd5-adf4-46b9-a3b3-9bf5cfa892b9,CUST_00010,2025-11-19,feature,Please add a dark mode to the dashboard.,pending,high,5.0
2284ca66-5e10-4cb1-a84d-da8078e980e4,CUST_00010,2024-12-10,billing,I was charged twice this month and need a refund immediately.,pending,high,4.0
f1257d10-1ded-4103-b20b-7631591e0170,CUST_00010,2024-10-19,account,I need to update my business address and tax ID.,open,high,
0e2c0729-30ec-40b9-86d7-97079a731d2a,CUST_00011,2026-03-30,account,How do I add a second user to my account?,pending,high,10.0
b015dec7-582b-4f52-9bb0-ead61c02c035,CUST_00011,2026-04-19,account,I need to update my business address and tax ID.,pending,medium,
7cc31427-b655-43b7-97be-8caebed9b213,CUST_00012,2026-04-02,technical,My bank connection keeps disconnecting every few days.,open,high,
360c71c3-790c-43b3-8dde-275cdd6bb21e,CUST_00014,2026-01-26,feature,Is there a way to export data to Excel automatically?,pending,high,6.0
c0e2b307-02f9-4fa0-ba60-59aed9d32ca5,CUST_00014,2024-10-28,technical,My bank connection keeps disconnecting every few days.,open,medium,4.0
a7cde8c6-4749-4f1f-b249-5b29b0f437f3,CUST_00014,2025-08-03,technical,Reports are not loading and just show a blank screen.,open,medium,11.0
faf05519-18df-4264-98ab-b09c79c24b52,CUST_00014,2024-11-13,account,Can I downgrade my plan and keep my data?,resolved,low,4.0
994e7a6b-952b-4609-a4fc-9278f0339c63,CUST_00015,2026-03-18,account,How do I export all my data before cancelling?,pending,high,12.0
b45949c3-bba0-46df-9006-ef1cbc8abb09,CUST_00015,2026-04-24,billing,I cancelled but was still billed. Please reverse this charge.,pending,medium,12.0
acf20a92-70df-44ea-9762-9a71ba27b4d1,CUST_00017,2025-06-13,feature,Can you add support for multiple currencies?,resolved,high,6.0
f512743d-3d3b-45e4-b28d-6d1ff35c7a3c,CUST_00018,2026-01-05,account,How do I add a second user to my account?,resolved,high,2.0
5b5b2bd7-c779-4499-96db-c0be27348fa8,CUST_00018,2024-11-22,account,How do I export all my data before cancelling?,open,low,1.0
6c6685f9-ea78-4837-a921-5ccc6ebfaeaa,CUST_00018,2025-04-07,feature,Please add a dark mode to the dashboard.,pending,high,10.0
063fb3b0-5808-400b-b769-29f06e16260b,CUST_00018,2025-07-26,technical,Reports are not loading and just show a blank screen.,open,high,
d66cc645-a279-4d7a-8c28-f169d78685ec,CUST_00018,2025-03-10,billing,I cancelled but was still billed. Please reverse this charge.,resolved,high,11.0
75821767-3b11-461e-b5fd-7c822f88fab5,CUST_00018,2025-09-24,account,I need to update my business address and tax ID.,pending,high,2.0
4df2b5b7-2d9d-4cef-915e-de97ed82931d,CUST_00018,2024-10-29,feature,Please add a dark mode to the dashboard.,resolved,low,7.0
05d43986-00ff-4861-b1d3-e5999e70dba5,CUST_00018,2024-10-12,technical,The app crashes every time I try to run payroll.,open,high,
37b9f603-b0e6-4839-9e91-dcca604f9b0f,CUST_00019,2025-10-17,account,How do I add a second user to my account?,resolved,low,3.0
d465f6d8-2628-4972-a44e-cb81e74ebd0d,CUST_00019,2026-02-07,feature,Please add a dark mode to the dashboard.,open,high,3.0
84615dbc-e7bd-453f-9f9e-b58865efda8f,CUST_00019,2026-02-24,technical,The app crashes every time I try to run payroll.,resolved,low,14.0
c693a854-eb74-41e4-af24-f9ff91e02051,CUST_00019,2025-08-30,feature,Is there a way to export data to Excel automatically?,open,low,7.0
7e711600-33a2-4aef-b882-009f191fd424,CUST_00020,2026-04-25,account,How do I export all my data before cancelling?,open,high,6.0
df69e411-6fef-4f21-9f08-d7f27cf1bc34,CUST_00020,2026-05-16,billing,I was charged twice this month and need a refund immediately.,open,low,13.0
a37e5163-1473-4972-bcf7-391e82ddeeb6,CUST_00020,2026-04-27,feature,Is there a way to export data to Excel automatically?,pending,high,7.0
ac276499-0d45-4bac-b0bb-e1311dc2cb45,CUST_00020,2026-03-23,billing,Why did my subscription price increase without notice?,pending,low,6.0
83d4ac8c-f755-4296-9b16-e6181c45ca7d,CUST_00021,2026-04-19,account,How do I export all my data before cancelling?,open,high,10.0
89702d21-9657-49b8-8307-2bdc03f60477,CUST_00021,2026-02-27,billing,I was charged twice this month and need a refund immediately.,resolved,medium,9.0
d4338848-9286-4e34-9601-c5629566afa3,CUST_00021,2026-03-25,account,How do I add a second user to my account?,resolved,high,
d3f1486e-58c9-486d-ba00-2b6f5328afc8,CUST_00021,2026-02-28,technical,"I cannot log in to my account, password reset is not working.",resolved,low,10.0
07b3a61f-c908-47df-8582-f2933287388f,CUST_00022,2025-12-05,account,I need to update my business address and tax ID.,open,low,9.0
00488524-6417-4d81-a36e-1c9677c99646,CUST_00022,2026-05-11,technical,The app crashes every time I try to run payroll.,pending,medium,12.0
3dc0aca6-00f0-41d9-9848-1f57526573d1,CUST_00022,2025-03-12,technical,My bank connection keeps disconnecting every few days.,open,medium,
a7c25dcc-5fdf-4621-9d4f-cfcee662b426,CUST_00022,2026-03-11,account,I need to update my business address and tax ID.,pending,low,8.0
71bb9e24-ebbb-44db-804c-0ff1ef101515,CUST_00022,2026-02-04,account,Can I downgrade my plan and keep my data?,resolved,high,3.0
5f736d99-66f6-4038-b7cf-7de29c788362,CUST_00023,2025-07-05,billing,"My invoice shows the wrong amount, please help.",resolved,high,7.0
fd324dd9-ec27-4798-ad29-9f91ae55b4f3,CUST_00026,2025-05-27,account,How do I export all my data before cancelling?,pending,medium,9.0
2e269929-014c-4c60-a0b9-6e4340204c97,CUST_00026,2025-06-11,account,Can I downgrade my plan and keep my data?,pending,low,10.0
428094f7-a14c-487c-9e48-18ce40a815fa,CUST_00027,2024-11-23,feature,I need the ability to set recurring transactions.,open,low,
8d003a55-0def-42a7-9066-712513362b53,CUST_00027,2025-08-19,feature,I need the ability to set recurring transactions.,open,high,7.0
3494d32d-509e-4a6b-bb91-760267a8ee39,CUST_00027,2024-12-05,technical,Reports are not loading and just show a blank screen.,resolved,high,2.0
20e23140-d972-4e64-9397-e4d8ca916aff,CUST_00027,2024-08-25,account,Can I downgrade my plan and keep my data?,open,high,14.0
0a46f8b5-cd34-436a-ad8d-42f54d4bbbc7,CUST_00027,2026-04-30,account,Can I downgrade my plan and keep my data?,open,high,1.0
9f15701a-7a27-4610-887b-204180c9b9a1,CUST_00028,2026-04-15,feature,I need the ability to set recurring transactions.,open,high,2.0
6505bcd8-d91f-4895-8082-d74407d4b44f,CUST_00028,2026-02-28,technical,My bank connection keeps disconnecting every few days.,resolved,high,3.0
